item-db  | about to fork child process, waiting until server is ready for connections.
item-db  | forked process: 28
item-db  | 2023-05-25T15:47:14.949+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] MongoDB starting : pid=28 port=27017 dbpath=/data/db 64-bit host=a92fd59ed61b
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] modules: none
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] build environment:
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db  | 2023-05-25T15:47:14.954+0000 I CONTROL  [initandlisten] options: { net: { bindIp: "127.0.0.1", port: 27017, ssl: { mode: "disabled" } }, processManagement: { fork: true, pidFilePath: "/tmp/docker-entrypoint-temp-mongod.pid" }, systemLog: { destination: "file", logAppend: true, path: "/proc/1/fd/1" } }
item-db  | 2023-05-25T15:47:14.954+0000 I STORAGE  [initandlisten] 
item-db  | 2023-05-25T15:47:14.955+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db  | 2023-05-25T15:47:14.955+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db  | 2023-05-25T15:47:14.955+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3431M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db  | 2023-05-25T15:47:15.368+0000 I STORAGE  [initandlisten] WiredTiger message [1685029635:368716][28:0x7ff20a727a40], txn-recover: Set global recovery timestamp: 0
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] 
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] 
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] 
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db  | 2023-05-25T15:47:15.411+0000 I CONTROL  [initandlisten] 
item-db  | 2023-05-25T15:47:15.411+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 6ac41bf3-c8b9-43f7-bc1c-cf65d6f102ce
item-db  | 2023-05-25T15:47:15.428+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db  | 2023-05-25T15:47:15.428+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: c61023dd-a245-4125-a246-72c53cf0c4a7
item-db  | 2023-05-25T15:47:15.443+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db  | 2023-05-25T15:47:15.444+0000 I NETWORK  [initandlisten] listening via socket bound to 127.0.0.1
item-db  | 2023-05-25T15:47:15.444+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 09dcd526-1d43-4fc5-b91d-2584694e7c02
item-db  | 2023-05-25T15:47:15.444+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db  | 2023-05-25T15:47:15.444+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db  | child process started successfully, parent exiting
item-db  | 2023-05-25T15:47:15.468+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db  | 2023-05-25T15:47:15.468+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db  | 2023-05-25T15:47:15.468+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
